"BehaviorSpace results (NetLogo 6.0.3)"
"challenge.nlogo"
"envy"
"05/27/2018 15:58:54:116 +1200"
"min-pxcor","max-pxcor","min-pycor","max-pycor"
"-20","20","-20","20"
"[run number]","max-payoff-high","n-ticks","p-start-low","n-history","n-investors","p-start-high","p-payoff-low","p-payoff-high","sigma-mutation","randomize-step","can-borrow","tau","n-predictors","max-payoff-low","n-coefficients","p-experiencers","envy-threshold","[step]","census POOL-STABLE","outgoings POOL-STABLE","census POOL-LOW","outgoings POOL-LOW","census POOL-HIGH","outgoings POOL-HIGH","mean [wealth] of investors","standard-deviation [wealth] of investors","mean [sum-squares-error] of investors"
"3","80","100","0.1","10","100","0.1","0.5","0.25","0.1","false","true","0","10","40","10","0","1","0","0","0","0","0","0","0","0","0","0"
"2","80","100","0.1","10","100","0.1","0.5","0.25","0.1","false","true","0","10","40","10","0","1","0","0","0","0","0","0","0","0","0","0"
"1","80","100","0.1","10","100","0.1","0.5","0.25","0.1","false","true","0","10","40","10","0","1","0","0","0","0","0","0","0","0","0","0"
"4","80","100","0.1","10","100","0.1","0.5","0.25","0.1","false","true","0","10","40","10","0","1","0","0","0","0","0","0","0","0","0","0"
"2","80","100","0.1","10","100","0.1","0.5","0.25","0.1","false","true","0","10","40","10","0","1","1","77","0","11","0","12","0","0","0","0"
"1","80","100","0.1","10","100","0.1","0.5","0.25","0.1","false","true","0","10","40","10","0","1","1","80","1","7","0","13","0","0.8","0.4020151261036845","0"
"3","80","100","0.1","10","100","0.1","0.5","0.25","0.1","false","true","0","10","40","10","0","1","1","71","1.1267605633802817","21","0","8","0","0.8000000000000003","0.5138569257150066","0"
"4","80","100","0.1","10","100","0.1","0.5","0.25","0.1","false","true","0","10","40","10","0","1","1","81","0","12","0","7","0","0","0","0"
"3","80","100","0.1","10","100","0.1","0.5","0.25","0.1","false","true","0","10","40","10","0","1","2","100","0.5633802816901409","0","40","0","0","0.8000000000000003","0.5138569257150067","35.34"
"2","80","100","0.1","10","100","0.1","0.5","0.25","0.1","false","true","0","10","40","10","0","1","2","100","0.4","0","0","0","0","0.7999999999999985","1.5621425723676385E-15","36.11"
"1","80","100","0.1","10","100","0.1","0.5","0.25","0.1","false","true","0","10","40","10","0","1","2","100","0.5","0","0","0","40","0.8","0.40201512610368456","32.07"
"4","80","100","0.1","10","100","0.1","0.5","0.25","0.1","false","true","0","10","40","10","0","1","2","100","0","0","0","0","0","0","0","36.68"
"3","80","100","0.1","10","100","0.1","0.5","0.25","0.1","false","true","0","10","40","10","0","1","3","27","0.37558685446009393","73","26.666666666666668","0","0","0.8000000000000003","0.5138569257150069","2212.25"
"2","80","100","0.1","10","100","0.1","0.5","0.25","0.1","false","true","0","10","40","10","0","1","3","100","0.26666666666666666","0","0","0","0","0.7999999999999985","1.5621425723676385E-15","69.56"
"1","80","100","0.1","10","100","0.1","0.5","0.25","0.1","false","true","0","10","40","10","0","1","3","25","0.3333333333333333","0","0","75","26.666666666666668","0.8","0.4020151261036845","2323.8"
"3","80","100","0.1","10","100","0.1","0.5","0.25","0.1","false","true","0","10","40","10","0","1","4","26","0.28169014084507044","74","20","0","0","0.8000000000000003","0.5138569257150065","3195.5"
"4","80","100","0.1","10","100","0.1","0.5","0.25","0.1","false","true","0","10","40","10","0","1","3","100","0.26666666666666666","0","0","0","0","0.7999999999999985","1.5621425723676385E-15","49.62"
"2","80","100","0.1","10","100","0.1","0.5","0.25","0.1","false","true","0","10","40","10","0","1","4","100","0.2","0","0","0","20","0.7999999999999985","1.5621425723676385E-15","60.88"
"4","80","100","0.1","10","100","0.1","0.5","0.25","0.1","false","true","0","10","40","10","0","1","4","100","0.4","0","0","0","0","1.599999999999997","3.124285144735277E-15","58.11"
"1","80","100","0.1","10","100","0.1","0.5","0.25","0.1","false","true","0","10","40","10","0","1","4","36","0.8055555555555556","0","0","64","20","1.6000000000000012","1.1488539158071056","3127.22"
"3","80","100","0.1","10","100","0.1","0.5","0.25","0.1","false","true","0","10","40","10","0","1","5","59","0.49653855335402247","41","16","0","0","1.6000000000000012","0.8281409012510325","3671.6"
"2","80","100","0.1","10","100","0.1","0.5","0.25","0.1","false","true","0","10","40","10","0","1","5","4","4.16","0","0","96","16","1.5999999999999985","3.938927711338647","7894.75"
"4","80","100","0.1","10","100","0.1","0.5","0.25","0.1","false","true","0","10","40","10","0","1","5","100","0.32","0","16","0","0","1.599999999999997","3.124285144735277E-15","32.26"
"3","80","100","0.1","10","100","0.1","0.5","0.25","0.1","false","true","0","10","40","10","0","1","6","81","0.4137821277950187","19","14.035087719298247","0","0","2.4","1.825274467532837","3833.48"
"1","80","100","0.1","10","100","0.1","0.5","0.25","0.1","false","true","0","10","40","10","0","1","5","67","0.6444444444444445","0","0","33","16","1.6000000000000012","1.1488539158071056","3617"
"2","80","100","0.1","10","100","0.1","0.5","0.25","0.1","false","true","0","10","40","10","0","1","6","63","3.466666666666667","0","13.333333333333334","37","13.333333333333334","1.6000000000000016","3.9389277113386525","8305.55"
"4","80","100","0.1","10","100","0.1","0.5","0.25","0.1","false","true","0","10","40","10","0","1","6","1","0.26666666666666666","99","13.468013468013467","0","0","2.399999999999996","0.0808080808080808","9594.66"
"1","80","100","0.1","10","100","0.1","0.5","0.25","0.1","false","true","0","10","40","10","0","1","6","80","0.5370370370370371","0","0","20","13.333333333333334","1.6000000000000012","1.1488539158071056","3862.7"
"3","80","100","0.1","10","100","0.1","0.5","0.25","0.1","false","true","0","10","40","10","0","1","7","55","0.3546703952528732","45","12.284043441938179","0","0","3.2000000000000015","2.197008534523958","4055.05"
"4","80","100","0.1","10","100","0.1","0.5","0.25","0.1","false","true","0","10","40","10","0","1","7","35","0.2285714285714286","65","11.71983571983572","0","0","3.1999999999999984","0.6063713267198606","10173.99"
"2","80","100","0.1","10","100","0.1","0.5","0.25","0.1","false","true","0","10","40","10","0","1","7","9","4.241269841269841","83","11.428571428571429","8","11.428571428571429","2.400000000000004","4.9345889747949965","14641.83"
"4","80","100","0.1","10","100","0.1","0.5","0.25","0.1","false","true","0","10","40","10","0","1","8","9","0.2","91","10.254856254856255","0","0","3.1999999999999993","0.6063713267198606","11464.79"
"3","80","100","0.1","10","100","0.1","0.5","0.25","0.1","false","true","0","10","40","10","0","1","8","33","0.31033659584626405","67","10.897791743039189","0","0","3.9999999999999982","2.2484635698377122","4669.95"
"2","80","100","0.1","10","100","0.1","0.5","0.25","0.1","false","true","0","10","40","10","0","1","8","39","3.7111111111111112","4","12.5","57","10","3.2000000000000046","6.6680133320004105","17507.88"
"1","80","100","0.1","10","100","0.1","0.5","0.25","0.1","false","true","0","10","40","10","0","1","7","86","0.46031746031746035","0","0","14","11.428571428571429","1.6000000000000012","1.1488539158071056","4051.04"
"4","80","100","0.1","10","100","0.1","0.5","0.25","0.1","false","true","0","10","40","10","0","1","9","72","0.17777777777777778","28","9.11542778209445","0","0","3.199999999999999","0.6063713267198606","12118.78"
"2","80","100","0.1","10","100","0.1","0.5","0.25","0.1","false","true","0","10","40","10","0","1","9","26","3.2987654320987656","66","11.11111111111111","8","8.88888888888889","3.2000000000000064","6.668013332000409","19155.03"
"3","80","100","0.1","10","100","0.1","0.5","0.25","0.1","false","true","0","10","40","10","0","1","9","29","0.27585475186334585","71","9.812121611965978","0","0","4.799999999999996","2.26107996860245","5841.16"
"1","80","100","0.1","10","100","0.1","0.5","0.25","0.1","false","true","0","10","40","10","0","1","8","75","0.4027777777777778","0","0","25","10.4","2.4000000000000004","1.7691710855556988","4141.75"
"4","80","100","0.1","10","100","0.1","0.5","0.25","0.1","false","true","0","10","40","10","0","1","10","83","0.2563855421686747","17","8.203885003885004","0","8","4.000000000000001","0.7864124756989223","12941.49"
"2","80","100","0.1","10","100","0.1","0.5","0.25","0.1","false","true","0","10","40","10","0","1","10","45","2.968888888888889","30","10","25","8.32","4.0000000000000036","6.619360781017342","19319.71"
"3","80","100","0.1","10","100","0.1","0.5","0.25","0.1","false","true","0","10","40","10","0","1","10","21","0.24826927667701124","79","8.83090945076938","0","0","4.799999999999997","2.26107996860245","7170.15"
"1","80","100","0.1","10","100","0.1","0.5","0.25","0.1","false","true","0","10","40","10","0","1","9","22","0.7620650953984287","0","0","78","9.244444444444445","3.2","2.001652210112419","7300.31"
"4","80","100","0.1","10","100","0.1","0.5","0.25","0.1","false","true","0","10","40","10","0","1","11","0","0.2330777656078861","1","7.458077276259095","99","7.2727272727272725","4.000000000000002","0.7864124756989214","23002.67"
"2","80","100","0.1","10","100","0.1","0.5","0.25","0.1","false","true","0","10","40","10","0","1","11","22","2.698989898989899","13","9.650349650349652","65","7.5636363636363635","4.800000000000004","6.83900529599591","20967.16"
"3","80","100","0.1","10","100","0.1","0.5","0.25","0.1","false","true","0","10","40","10","0","1","11","64","0.2256993424336466","36","8.028099500699437","0","0","4.799999999999998","2.2610799686024494","7541.55"
"4","80","100","0.1","10","100","0.1","0.5","0.25","0.1","false","true","0","10","40","10","0","1","12","8","0.21365461847389558","92","6.909034604686778","0","6.666666666666667","4.799999999999992","0.8610646772266709","31385.29"
"1","80","100","0.1","10","100","0.1","0.5","0.25","0.1","false","true","0","10","40","10","0","1","10","82","0.6858585858585858","0","0","18","8.764444444444445","3.9999999999999996","2.285823844309284","7684.87"
"2","80","100","0.1","10","100","0.1","0.5","0.25","0.1","false","true","0","10","40","10","0","1","12","17","2.866230936819172","32","8.846153846153847","51","6.933333333333334","5.600000000000001","7.728280074038691","22017.23"
"3","80","100","0.1","10","100","0.1","0.5","0.25","0.1","false","true","0","10","40","10","0","1","12","45","0.3550392120456575","55","7.359091208974483","0","0","5.600000000000001","2.3784667052143194","7152.54"
"4","80","100","0.1","10","100","0.1","0.5","0.25","0.1","false","true","0","10","40","10","0","1","13","34","0.3782151229351796","9","6.377570404326257","57","6.153846153846154","5.599999999999995","1.4859708130513354","32241.13"
"1","80","100","0.1","10","100","0.1","0.5","0.25","0.1","false","true","0","10","40","10","0","1","11","61","0.6235078053259872","0","0","39","7.9676767676767675","3.9999999999999996","2.2858238443092835","7864.38"
"3","80","100","0.1","10","100","0.1","0.5","0.25","0.1","false","true","0","10","40","10","0","1","13","81","0.4037019127335034","19","6.7930072698226","0","0","6.400000000000001","2.4013909655620873","5975.65"
"4","80","100","0.1","10","100","0.1","0.5","0.25","0.1","false","true","0","10","40","10","0","1","14","70","0.35119975701123823","22","5.922029661160096","8","5.714285714285714","5.599999999999995","1.4859708130513358","32507.93"
"2","80","100","0.1","10","100","0.1","0.5","0.25","0.1","false","true","0","10","40","10","0","1","13","30","2.850879839115133","46","8.165680473372781","24","6.656410256410256","7.199999999999996","8.02939786968248","22269.38"
"3","80","100","0.1","10","100","0.1","0.5","0.25","0.1","false","true","0","10","40","10","0","1","14","42","0.510920483592675","58","6.307792464835272","0","0","7.2","2.7043925600909393","6217.29"
"4","80","100","0.1","10","100","0.1","0.5","0.25","0.1","false","true","0","10","40","10","0","1","15","26","0.32778643987715567","72","5.527227683749422","2","5.333333333333333","5.599999999999997","1.4859708130513358","35155.82"
"2","80","100","0.1","10","100","0.1","0.5","0.25","0.1","false","true","0","10","40","10","0","1","14","29","2.844289899867993","60","7.582417582417583","11","6.180952380952381","7.999999999999993","8.342795105304917","24117.49"
"1","80","100","0.1","10","100","0.1","0.5","0.25","0.1","false","true","0","10","40","10","0","1","12","73","0.5715488215488215","0","0","27","7.303703703703704","3.9999999999999987","2.2858238443092835","7894.12"
"4","80","100","0.1","10","100","0.1","0.5","0.25","0.1","false","true","0","10","40","10","0","1","16","34","0.30729978738483343","25","5.181775953515084","41","5","5.599999999999995","1.4859708130513354","25693.56"
"3","80","100","0.1","10","100","0.1","0.5","0.25","0.1","false","true","0","10","40","10","0","1","15","69","0.47685911801982994","31","6.0593159779322745","0","5.333333333333333","8.000000000000002","3.2123363125462747","5824.25"
"2","80","100","0.1","10","100","0.1","0.5","0.25","0.1","false","true","0","10","40","10","0","1","15","49","2.654670573210127","33","7.0769230769230775","18","5.768888888888889","7.999999999999995","8.34279510530492","16198.03"
"1","80","100","0.1","10","100","0.1","0.5","0.25","0.1","false","true","0","10","40","10","0","1","13","36","0.5275835275835276","0","0","64","6.741880341880342","4","2.2858238443092835","6019.82"
"4","80","100","0.1","10","100","0.1","0.5","0.25","0.1","false","true","0","10","40","10","0","1","17","70","0.28922332930337263","23","4.876965603308314","7","4.705882352941177","5.599999999999994","1.4859708130513358","24501.82"
"2","80","100","0.1","10","100","0.1","0.5","0.25","0.1","false","true","0","10","40","10","0","1","16","35","2.488753662384494","36","6.634615384615385","29","5.408333333333333","7.999999999999993","8.342795105304921","16225.29"
"3","80","100","0.1","10","100","0.1","0.5","0.25","0.1","false","true","0","10","40","10","0","1","16","0","0.4470554231435906","0","5.6806087293115075","100","5","8.000000000000002","3.2123363125462747","16951.1"
"1","80","100","0.1","10","100","0.1","0.5","0.25","0.1","false","true","0","10","40","10","0","1","14","79","0.4898989898989899","0","0","21","6.26031746031746","3.9999999999999982","2.2858238443092835","5342.3"
"4","80","100","0.1","10","100","0.1","0.5","0.25","0.1","false","true","0","10","40","10","0","1","18","54","0.2731553665642964","43","4.606023069791186","3","5.9259259259259265","6.399999999999999","4.713981900394487","23109.73"
"3","80","100","0.1","10","100","0.1","0.5","0.25","0.1","false","true","0","10","40","10","0","1","17","15","0.42075804531161465","83","5.346455274646125","2","4.705882352941177","8.000000000000002","3.212336312546275","23045.53"
"2","80","100","0.1","10","100","0.1","0.5","0.25","0.1","false","true","0","10","40","10","0","1","17","24","2.3423563881265825","27","6.418635830400537","49","5.090196078431372","8.799999999999994","8.409123690594617","10084.2"
"4","80","100","0.1","10","100","0.1","0.5","0.25","0.1","false","true","0","10","40","10","0","1","19","23","0.4418451298801343","56","4.363600802960071","21","5.614035087719299","7.2","4.870776357000109","23910.55"
"1","80","100","0.1","10","100","0.1","0.5","0.25","0.1","false","true","0","10","40","10","0","1","15","82","0.4572390572390572","0","0","18","5.842962962962963","3.9999999999999996","2.2858238443092835","5493.09"
"3","80","100","0.1","10","100","0.1","0.5","0.25","0.1","false","true","0","10","40","10","0","1","18","58","0.3973825983498583","19","5.049429981610229","23","4.63768115942029","8.8","3.4135362921412282","23276.29"
"2","80","100","0.1","10","100","0.1","0.5","0.25","0.1","false","true","0","10","40","10","0","1","18","50","2.212225477675106","38","6.06204495093384","12","4.807407407407407","8.799999999999997","8.409123690594614","9190.08"
"4","80","100","0.1","10","100","0.1","0.5","0.25","0.1","false","true","0","10","40","10","0","1","20","14","0.7054671591004135","34","4.263067821635596","52","5.333333333333334","8.800000000000004","5.611293128892466","24807.48"
"3","80","100","0.1","10","100","0.1","0.5","0.25","0.1","false","true","0","10","40","10","0","1","19","66","0.44026357802203475","27","4.783670508893901","7","4.393592677345538","9.6","3.523937099953152","23438.76"
"1","80","100","0.1","10","100","0.1","0.5","0.25","0.1","false","true","0","10","40","10","0","1","16","45","0.42866161616161613","0","0","55","5.477777777777778","4","2.2858238443092835","6229.98"
"2","80","100","0.1","10","100","0.1","0.5","0.25","0.1","false","true","0","10","40","10","0","1","19","55","2.0957925577974685","19","5.964596601715715","26","4.716329284750337","10.399999999999999","8.668021894954316","7222.91"
"3","80","100","0.1","10","100","0.1","0.5","0.25","0.1","false","true","0","10","40","10","0","1","20","40","0.41825039912093304","38","4.544486983449206","22","4.173913043478261","9.599999999999998","3.5239370999531516","21408.79"
