step,who,wealth,payoffs,choices,strategy,tau
0,74,27.17597663380796,1.25,0,1,5
1,74,27.17597663380796,0,0,1,5
2,74,27.17597663380796,1.25,0,1,5
3,74,27.17597663380796,0,0,1,5
4,74,27.17597663380796,0,0,1,5
5,74,27.17597663380796,0,0,1,5
6,74,27.17597663380796,0,0,1,5
7,74,27.17597663380796,0,0,1,5
8,74,27.17597663380796,0,0,1,5
9,74,27.17597663380796,0,0,1,5
10,74,27.17597663380796,1.25,0,1,5
11,74,27.17597663380796,0,0,1,5
12,74,27.17597663380796,1.25,0,1,5
13,74,27.17597663380796,0,0,1,5
14,74,27.17597663380796,0,0,1,5
15,74,27.17597663380796,0,0,1,5
16,74,27.17597663380796,0,0,1,5
17,74,27.17597663380796,0,0,1,5
18,74,27.17597663380796,0,0,1,5
19,74,27.17597663380796,0,0,1,5
20,74,27.17597663380796,0,0,1,5
21,74,27.17597663380796,0,0,1,5
22,74,27.17597663380796,0,0,1,5
23,74,27.17597663380796,0,0,1,5
24,74,27.17597663380796,0,0,1,5
25,74,27.17597663380796,0,0,1,5
26,74,27.17597663380796,0,0,1,5
27,74,27.17597663380796,1.25,0,1,5
28,74,27.17597663380796,0,0,1,5
29,74,27.17597663380796,1.25,0,1,5
30,74,27.17597663380796,0,0,1,5
31,74,27.17597663380796,1.25,0,1,5
32,74,27.17597663380796,1.25,0,1,5
33,74,27.17597663380796,0,0,1,5
34,74,27.17597663380796,1.25,0,1,5
35,74,27.17597663380796,0,0,1,5
36,74,27.17597663380796,0,0,1,5
37,74,27.17597663380796,0,0,1,5
38,74,27.17597663380796,0,0,1,5
39,74,27.17597663380796,0,0,1,5
40,74,27.17597663380796,0,0,1,5
41,74,27.17597663380796,0,0,1,5
42,74,27.17597663380796,0,0,1,5
43,74,27.17597663380796,1.25,0,1,5
44,74,27.17597663380796,0,0,1,5
45,74,27.17597663380796,0,0,1,5
46,74,27.17597663380796,0,0,1,5
47,74,27.17597663380796,1.25,0,1,5
48,74,27.17597663380796,0,0,1,5
49,74,27.17597663380796,0,0,1,5
50,74,27.17597663380796,0,0,1,5
51,74,27.17597663380796,0,0,1,5
52,74,27.17597663380796,1.25,0,1,5
53,74,27.17597663380796,0,0,1,5
54,74,27.17597663380796,0,0,1,5
55,74,27.17597663380796,0,0,1,5
56,74,27.17597663380796,1.25,0,1,5
57,74,27.17597663380796,0,0,1,5
58,74,27.17597663380796,1.25,0,1,5
59,74,27.17597663380796,1.25,0,1,5
60,74,27.17597663380796,1.25,0,1,5
61,74,27.17597663380796,0,0,1,5
62,74,27.17597663380796,1.25,0,1,5
63,74,27.17597663380796,0,0,1,5
64,74,27.17597663380796,0,0,1,5
65,74,27.17597663380796,0,0,1,5
66,74,27.17597663380796,0,0,1,5
67,74,27.17597663380796,1.25,0,1,5
68,74,27.17597663380796,0,0,1,5
69,74,27.17597663380796,0,0,1,5
70,74,27.17597663380796,0,0,1,5
71,74,27.17597663380796,0,0,1,5
72,74,27.17597663380796,0,0,1,5
73,74,27.17597663380796,0,0,1,5
74,74,27.17597663380796,0,0,1,5
75,74,27.17597663380796,0,0,1,5
76,74,27.17597663380796,0,0,1,5
77,74,27.17597663380796,1.25,0,1,5
78,74,27.17597663380796,0,0,1,5
79,74,27.17597663380796,0,0,1,5
80,74,27.17597663380796,0,0,1,5
81,74,27.17597663380796,0,0,1,5
82,74,27.17597663380796,0,0,1,5
83,74,27.17597663380796,0,0,1,5
84,74,27.17597663380796,0,0,1,5
85,74,27.17597663380796,1.25,0,1,5
86,74,27.17597663380796,1.25,0,1,5
87,74,27.17597663380796,0,0,1,5
88,74,27.17597663380796,0,0,1,5
89,74,27.17597663380796,1.25,0,1,5
90,74,27.17597663380796,0,0,1,5
91,74,27.17597663380796,1.25,0,1,5
92,74,27.17597663380796,0,0,1,5
93,74,27.17597663380796,1.25,0,1,5
94,74,27.17597663380796,0,0,1,5
95,74,27.17597663380796,0,0,1,5
96,74,27.17597663380796,1.2121212121212122,0,1,5
97,74,27.17597663380796,0,0,1,5
98,74,27.17597663380796,0,0,1,5
99,74,27.17597663380796,0,0,1,5
100,74,27.17597663380796,0.963855421686747,0,1,5
101,74,27.17597663380796,0,1,1,5
0,88,32.17597663380796,1.25,0,0,5
1,88,32.17597663380796,0,0,0,5
2,88,32.17597663380796,1.25,0,0,5
3,88,32.17597663380796,0,0,0,5
4,88,32.17597663380796,0,0,0,5
5,88,32.17597663380796,0,0,0,5
