step,who,wealth,payoffs,choices,strategy,tau
0,43,48.27496249543241,1.702127659574468,0,1,1
1,43,48.27496249543241,0,0,1,1
2,43,48.27496249543241,0,0,1,1
3,43,48.27496249543241,2.1621621621621623,0,1,1
4,43,48.27496249543241,0,0,1,1
5,43,48.27496249543241,0,0,1,1
6,43,48.27496249543241,1.7391304347826086,0,1,1
7,43,48.27496249543241,1.7777777777777777,0,1,1
8,43,48.27496249543241,0,0,1,1
9,43,48.27496249543241,1.6666666666666667,0,1,1
10,43,48.27496249543241,0,0,1,1
11,43,48.27496249543241,0,0,1,1
12,43,48.27496249543241,0,0,1,1
13,43,48.27496249543241,2.051282051282051,0,1,1
14,43,48.27496249543241,0,0,1,1
15,43,48.27496249543241,0,0,1,1
16,43,48.27496249543241,2,0,1,1
17,43,48.27496249543241,2.1052631578947367,0,1,1
18,43,48.27496249543241,0,0,1,1
19,43,48.27496249543241,0,0,1,1
20,43,48.27496249543241,0,0,1,1
21,43,48.27496249543241,1.6,0,1,1
22,43,48.27496249543241,1.5686274509803921,0,1,1
23,43,48.27496249543241,1.509433962264151,0,1,1
24,43,48.27496249543241,1.509433962264151,0,1,1
25,43,48.27496249543241,1.3793103448275863,0,1,1
26,43,48.27496249543241,0,0,1,1
27,43,48.27496249543241,1.4545454545454546,0,1,1
28,43,48.27496249543241,1.7391304347826086,0,1,1
29,43,48.27496249543241,0,0,1,1
30,43,48.27496249543241,0,0,1,1
31,43,48.27496249543241,0,0,1,1
32,43,48.27496249543241,1.4545454545454546,0,1,1
33,43,48.27496249543241,1.3333333333333333,0,1,1
34,43,48.27496249543241,0,0,1,1
35,43,48.27496249543241,0,0,1,1
36,43,48.27496249543241,1.702127659574468,0,1,1
37,43,48.27496249543241,0,0,1,1
38,43,48.27496249543241,0,0,1,1
39,43,48.27496249543241,0,0,1,1
40,43,48.27496249543241,0,0,1,1
41,43,48.27496249543241,1.5686274509803921,0,1,1
42,43,48.27496249543241,1.5686274509803921,0,1,1
43,43,48.27496249543241,0,0,1,1
44,43,48.27496249543241,1.5686274509803921,0,1,1
45,43,48.27496249543241,0,0,1,1
46,43,48.27496249543241,0,0,1,1
47,43,48.27496249543241,0,0,1,1
48,43,48.27496249543241,1.509433962264151,0,1,1
49,43,48.27496249543241,1.4035087719298245,0,1,1
50,43,48.27496249543241,1.5686274509803921,0,1,1
51,43,48.27496249543241,0,0,1,1
52,43,48.27496249543241,1.5384615384615385,0,1,1
53,43,48.27496249543241,0,0,1,1
54,43,48.27496249543241,0,0,1,1
55,43,48.27496249543241,0,0,1,1
56,43,48.27496249543241,0,0,1,1
57,43,48.27496249543241,0,0,1,1
58,43,48.27496249543241,0,0,1,1
59,43,48.27496249543241,0,0,1,1
60,43,48.27496249543241,0,0,1,1
61,43,48.27496249543241,0,0,1,1
62,43,48.27496249543241,0,0,1,1
63,43,48.27496249543241,1.6,0,1,1
64,43,48.27496249543241,0,0,1,1
65,43,48.27496249543241,1.702127659574468,0,1,1
66,43,48.27496249543241,0,0,1,1
67,43,48.27496249543241,0,0,1,1
68,43,48.27496249543241,0,0,1,1
69,43,48.27496249543241,0,0,1,1
70,43,48.27496249543241,0,0,1,1
71,43,48.27496249543241,1.4814814814814814,0,1,1
72,43,48.27496249543241,1.4814814814814814,0,1,1
73,43,48.27496249543241,0,0,1,1
74,43,48.27496249543241,0,0,1,1
75,43,48.27496249543241,0,0,1,1
76,43,48.27496249543241,2.051282051282051,0,1,1
77,43,48.27496249543241,0,0,1,1
78,43,48.27496249543241,0,0,1,1
79,43,48.27496249543241,0,0,1,1
80,43,48.27496249543241,0,0,1,1
81,43,48.27496249543241,0,0,1,1
82,43,48.27496249543241,1.7777777777777777,0,1,1
83,43,48.27496249543241,0,0,1,1
84,43,48.27496249543241,0,0,1,1
85,43,48.27496249543241,0,0,1,1
86,43,48.27496249543241,0,0,1,1
87,43,48.27496249543241,0,1,1,1
88,43,48.27496249543241,0,1,1,1
89,43,48.27496249543241,0,1,1,1
90,43,48.27496249543241,0,0,1,1
91,43,48.27496249543241,0,0,1,1
92,43,48.27496249543241,0,0,1,1
93,43,48.27496249543241,2,0,1,1
94,43,48.27496249543241,0,2,1,1
95,43,48.27496249543241,0,2,1,1
96,43,48.27496249543241,0,2,1,1
97,43,48.27496249543241,0,1,1,1
98,43,48.27496249543241,0,1,1,1
99,43,48.27496249543241,0,1,1,1
100,43,48.27496249543241,0,1,1,1
101,43,48.27496249543241,0,0,1,1
0,76,78.56570340169145,3.3333333333333335,1,0,1
1,76,78.56570340169145,0,1,0,1
2,76,78.56570340169145,0,1,0,1
3,76,78.56570340169145,2.962962962962963,1,0,1
4,76,78.56570340169145,0,1,0,1
5,76,78.56570340169145,2.5,2,0,1
6,76,78.56570340169145,0,2,0,1
7,76,78.56570340169145,3.076923076923077,2,0,1
8,76,78.56570340169145,0,2,0,1
9,76,78.56570340169145,0,2,0,1
10,76,78.56570340169145,0,2,0,1
11,76,78.56570340169145,0,2,0,1
12,76,78.56570340169145,0,2,0,1
13,76,78.56570340169145,2.1052631578947367,1,0,1
14,76,78.56570340169145,5,1,0,1
15,76,78.56570340169145,0,1,0,1
16,76,78.56570340169145,0,1,0,1
17,76,78.56570340169145,0,1,0,1
18,76,78.56570340169145,0,1,0,1
19,76,78.56570340169145,0,1,0,1
20,76,78.56570340169145,0,1,0,1
21,76,78.56570340169145,0,1,0,1
22,76,78.56570340169145,2.4242424242424243,1,0,1
23,76,78.56570340169145,2.7586206896551726,1,0,1
24,76,78.56570340169145,0,1,0,1
25,76,78.56570340169145,4,1,0,1
26,76,78.56570340169145,0,1,0,1
27,76,78.56570340169145,0,1,0,1
28,76,78.56570340169145,0,1,0,1
29,76,78.56570340169145,0,1,0,1
30,76,78.56570340169145,2.5,2,0,1
31,76,78.56570340169145,3.8095238095238093,2,0,1
32,76,78.56570340169145,0,2,0,1
33,76,78.56570340169145,0,1,0,1
34,76,78.56570340169145,0,1,0,1
35,76,78.56570340169145,0,1,0,1
36,76,78.56570340169145,0,1,0,1
37,76,78.56570340169145,0,1,0,1
38,76,78.56570340169145,2.962962962962963,1,0,1
39,76,78.56570340169145,3.8095238095238093,1,0,1
40,76,78.56570340169145,0,1,0,1
41,76,78.56570340169145,3.3333333333333335,1,0,1
42,76,78.56570340169145,0,1,0,1
43,76,78.56570340169145,0,1,0,1
44,76,78.56570340169145,3.2,1,0,1
45,76,78.56570340169145,0,1,0,1
46,76,78.56570340169145,0,1,0,1
47,76,78.56570340169145,4,1,0,1
48,76,78.56570340169145,0,1,0,1
49,76,78.56570340169145,0,1,0,1
50,76,78.56570340169145,0,1,0,1
51,76,78.56570340169145,0,2,0,1
52,76,78.56570340169145,0,2,0,1
53,76,78.56570340169145,0,2,0,1
54,76,78.56570340169145,3.6363636363636362,2,0,1
55,76,78.56570340169145,0,2,0,1
56,76,78.56570340169145,0,2,0,1
57,76,78.56570340169145,3.8095238095238093,2,0,1
58,76,78.56570340169145,4.2105263157894735,2,0,1
59,76,78.56570340169145,0,0,0,1
60,76,78.56570340169145,0,0,0,1
61,76,78.56570340169145,0,0,0,1
62,76,78.56570340169145,0,1,0,1
63,76,78.56570340169145,0,1,0,1
64,76,78.56570340169145,0,1,0,1
65,76,78.56570340169145,0,1,0,1
66,76,78.56570340169145,3.6363636363636362,1,0,1
67,76,78.56570340169145,0,1,0,1
68,76,78.56570340169145,0,2,0,1
69,76,78.56570340169145,0,1,0,1
70,76,78.56570340169145,0,2,0,1
71,76,78.56570340169145,0,2,0,1
72,76,78.56570340169145,0,2,0,1
73,76,78.56570340169145,4.705882352941177,2,0,1
74,76,78.56570340169145,4.444444444444445,2,0,1
75,76,78.56570340169145,0,2,0,1
76,76,78.56570340169145,0,2,0,1
77,76,78.56570340169145,0,2,0,1
78,76,78.56570340169145,0,2,0,1
79,76,78.56570340169145,3.2,2,0,1
80,76,78.56570340169145,0,1,0,1
81,76,78.56570340169145,0,0,0,1
82,76,78.56570340169145,1.7777777777777777,0,0,1
83,76,78.56570340169145,0,0,0,1
