step,who,wealth,payoffs,choices,strategy,tau
0,8,54.20755304190476,0,0,1,1
1,8,54.20755304190476,0,0,1,1
2,8,54.20755304190476,0,0,1,1
3,8,54.20755304190476,0,0,1,1
4,8,54.20755304190476,0.898876404494382,0,1,1
5,8,54.20755304190476,0,0,1,1
6,8,54.20755304190476,0,0,1,1
7,8,54.20755304190476,0,0,1,1
8,8,54.20755304190476,0,0,1,1
9,8,54.20755304190476,0,0,1,1
10,8,54.20755304190476,0.9090909090909091,0,1,1
11,8,54.20755304190476,0,0,1,1
12,8,54.20755304190476,0,0,1,1
13,8,54.20755304190476,0.975609756097561,0,1,1
14,8,54.20755304190476,0,0,1,1
15,8,54.20755304190476,0,0,1,1
16,8,54.20755304190476,0,0,1,1
17,8,54.20755304190476,0,0,1,1
18,8,54.20755304190476,0,0,1,1
19,8,54.20755304190476,0,0,1,1
20,8,54.20755304190476,0,0,1,1
21,8,54.20755304190476,0.8602150537634409,0,1,1
22,8,54.20755304190476,0,0,1,1
23,8,54.20755304190476,0,0,1,1
24,8,54.20755304190476,0,0,1,1
25,8,54.20755304190476,0,0,1,1
26,8,54.20755304190476,0,0,1,1
27,8,54.20755304190476,0,0,1,1
28,8,54.20755304190476,0,0,1,1
29,8,54.20755304190476,0,0,1,1
30,8,54.20755304190476,0,1,1,1
31,8,54.20755304190476,0,0,1,1
32,8,54.20755304190476,0.9090909090909091,0,1,1
33,8,54.20755304190476,0,0,1,1
34,8,54.20755304190476,0,0,1,1
35,8,54.20755304190476,0.9195402298850575,0,1,1
36,8,54.20755304190476,0,0,1,1
37,8,54.20755304190476,0,0,1,1
38,8,54.20755304190476,0.851063829787234,0,1,1
39,8,54.20755304190476,0,0,1,1
40,8,54.20755304190476,0,0,1,1
41,8,54.20755304190476,0,0,1,1
42,8,54.20755304190476,0,0,1,1
43,8,54.20755304190476,0,2,1,1
44,8,54.20755304190476,0.8602150537634409,0,1,1
45,8,54.20755304190476,0,0,1,1
46,8,54.20755304190476,0,0,1,1
47,8,54.20755304190476,0.898876404494382,0,1,1
