"BehaviorSpace results (NetLogo 6.0.3)"
"challenge.nlogo"
"transients"
"05/25/2018 13:14:28:651 +1200"
"min-pxcor","max-pxcor","min-pycor","max-pycor"
"-20","20","-20","20"
"[run number]","max-payoff-high","n-ticks","can-borrow","p-start-low","p-experiencers","n-history","g-random-jump","tau-weight","n-investors","n-cartel","p-payoff-low","n-memory","p-payoff-high","sigma-mutation","p-start-high","randomize-step","tau","n-predictors","epsilon","max-payoff-low","epsilon-steady","n-coefficients","[step]","census POOL-STABLE","census POOL-LOW","census POOL-HIGH"
"3","80","1000","true","0","0","10","false","0.5","100","0","0.5","10","0.25","0.1","1","false","0","10","1","40","0.25","10","0","0","0","0"
"2","80","1000","true","0","0","10","false","0.5","100","0","0.5","10","0.25","0.1","1","false","0","10","1","40","0.25","10","0","0","0","0"
"1","80","1000","true","0","0","10","false","0.5","100","0","0.5","10","0.25","0.1","1","false","0","10","1","40","0.25","10","0","0","0","0"
"4","80","1000","true","0","0","10","false","0.5","100","0","0.5","10","0.25","0.1","1","false","0","10","1","40","0.25","10","0","0","0","0"
"2","80","1000","true","0","0","10","false","0.5","100","0","0.5","10","0.25","0.1","1","false","0","10","1","40","0.25","10","1","0","0","100"
"3","80","1000","true","0","0","10","false","0.5","100","0","0.5","10","0.25","0.1","1","false","0","10","1","40","0.25","10","1","0","0","100"
"1","80","1000","true","0","0","10","false","0.5","100","0","0.5","10","0.25","0.1","1","false","0","10","1","40","0.25","10","1","0","0","100"
"4","80","1000","true","0","0","10","false","0.5","100","0","0.5","10","0.25","0.1","1","false","0","10","1","40","0.25","10","1","0","0","100"
"2","80","1000","true","0","0","10","false","0.5","100","0","0.5","10","0.25","0.1","1","false","0","10","1","40","0.25","10","2","100","0","0"
"1","80","1000","true","0","0","10","false","0.5","100","0","0.5","10","0.25","0.1","1","false","0","10","1","40","0.25","10","2","100","0","0"
"4","80","1000","true","0","0","10","false","0.5","100","0","0.5","10","0.25","0.1","1","false","0","10","1","40","0.25","10","2","100","0","0"
"3","80","1000","true","0","0","10","false","0.5","100","0","0.5","10","0.25","0.1","1","false","0","10","1","40","0.25","10","2","5","95","0"
"2","80","1000","true","0","0","10","false","0.5","100","0","0.5","10","0.25","0.1","1","false","0","10","1","40","0.25","10","3","100","0","0"
"1","80","1000","true","0","0","10","false","0.5","100","0","0.5","10","0.25","0.1","1","false","0","10","1","40","0.25","10","3","47","0","53"
"4","80","1000","true","0","0","10","false","0.5","100","0","0.5","10","0.25","0.1","1","false","0","10","1","40","0.25","10","3","15","53","32"
"2","80","1000","true","0","0","10","false","0.5","100","0","0.5","10","0.25","0.1","1","false","0","10","1","40","0.25","10","4","100","0","0"
"3","80","1000","true","0","0","10","false","0.5","100","0","0.5","10","0.25","0.1","1","false","0","10","1","40","0.25","10","3","56","44","0"
"4","80","1000","true","0","0","10","false","0.5","100","0","0.5","10","0.25","0.1","1","false","0","10","1","40","0.25","10","4","1","27","72"
"2","80","1000","true","0","0","10","false","0.5","100","0","0.5","10","0.25","0.1","1","false","0","10","1","40","0.25","10","5","9","91","0"
"1","80","1000","true","0","0","10","false","0.5","100","0","0.5","10","0.25","0.1","1","false","0","10","1","40","0.25","10","4","1","66","33"
"3","80","1000","true","0","0","10","false","0.5","100","0","0.5","10","0.25","0.1","1","false","0","10","1","40","0.25","10","4","44","6","50"
"4","80","1000","true","0","0","10","false","0.5","100","0","0.5","10","0.25","0.1","1","false","0","10","1","40","0.25","10","5","0","38","62"
"2","80","1000","true","0","0","10","false","0.5","100","0","0.5","10","0.25","0.1","1","false","0","10","1","40","0.25","10","6","5","95","0"
"3","80","1000","true","0","0","10","false","0.5","100","0","0.5","10","0.25","0.1","1","false","0","10","1","40","0.25","10","5","35","22","43"
"1","80","1000","true","0","0","10","false","0.5","100","0","0.5","10","0.25","0.1","1","false","0","10","1","40","0.25","10","5","4","19","77"
"4","80","1000","true","0","0","10","false","0.5","100","0","0.5","10","0.25","0.1","1","false","0","10","1","40","0.25","10","6","0","56","44"
"2","80","1000","true","0","0","10","false","0.5","100","0","0.5","10","0.25","0.1","1","false","0","10","1","40","0.25","10","7","49","51","0"
"3","80","1000","true","0","0","10","false","0.5","100","0","0.5","10","0.25","0.1","1","false","0","10","1","40","0.25","10","6","24","51","25"
"1","80","1000","true","0","0","10","false","0.5","100","0","0.5","10","0.25","0.1","1","false","0","10","1","40","0.25","10","6","28","16","56"
"2","80","1000","true","0","0","10","false","0.5","100","0","0.5","10","0.25","0.1","1","false","0","10","1","40","0.25","10","8","46","54","0"
"4","80","1000","true","0","0","10","false","0.5","100","0","0.5","10","0.25","0.1","1","false","0","10","1","40","0.25","10","7","0","54","46"
"3","80","1000","true","0","0","10","false","0.5","100","0","0.5","10","0.25","0.1","1","false","0","10","1","40","0.25","10","7","22","52","26"
"1","80","1000","true","0","0","10","false","0.5","100","0","0.5","10","0.25","0.1","1","false","0","10","1","40","0.25","10","7","21","18","61"
"2","80","1000","true","0","0","10","false","0.5","100","0","0.5","10","0.25","0.1","1","false","0","10","1","40","0.25","10","9","58","42","0"
"4","80","1000","true","0","0","10","false","0.5","100","0","0.5","10","0.25","0.1","1","false","0","10","1","40","0.25","10","8","0","60","40"
"3","80","1000","true","0","0","10","false","0.5","100","0","0.5","10","0.25","0.1","1","false","0","10","1","40","0.25","10","8","25","38","37"
"2","80","1000","true","0","0","10","false","0.5","100","0","0.5","10","0.25","0.1","1","false","0","10","1","40","0.25","10","10","52","48","0"
"1","80","1000","true","0","0","10","false","0.5","100","0","0.5","10","0.25","0.1","1","false","0","10","1","40","0.25","10","8","18","18","64"
"4","80","1000","true","0","0","10","false","0.5","100","0","0.5","10","0.25","0.1","1","false","0","10","1","40","0.25","10","9","0","54","46"
"3","80","1000","true","0","0","10","false","0.5","100","0","0.5","10","0.25","0.1","1","false","0","10","1","40","0.25","10","9","18","27","55"
"1","80","1000","true","0","0","10","false","0.5","100","0","0.5","10","0.25","0.1","1","false","0","10","1","40","0.25","10","9","42","13","45"
"2","80","1000","true","0","0","10","false","0.5","100","0","0.5","10","0.25","0.1","1","false","0","10","1","40","0.25","10","11","59","41","0"
"4","80","1000","true","0","0","10","false","0.5","100","0","0.5","10","0.25","0.1","1","false","0","10","1","40","0.25","10","10","0","47","53"
"2","80","1000","true","0","0","10","false","0.5","100","0","0.5","10","0.25","0.1","1","false","0","10","1","40","0.25","10","12","65","35","0"
"1","80","1000","true","0","0","10","false","0.5","100","0","0.5","10","0.25","0.1","1","false","0","10","1","40","0.25","10","10","17","44","39"
"3","80","1000","true","0","0","10","false","0.5","100","0","0.5","10","0.25","0.1","1","false","0","10","1","40","0.25","10","10","23","23","54"
"4","80","1000","true","0","0","10","false","0.5","100","0","0.5","10","0.25","0.1","1","false","0","10","1","40","0.25","10","11","0","49","51"
"2","80","1000","true","0","0","10","false","0.5","100","0","0.5","10","0.25","0.1","1","false","0","10","1","40","0.25","10","13","58","42","0"
"4","80","1000","true","0","0","10","false","0.5","100","0","0.5","10","0.25","0.1","1","false","0","10","1","40","0.25","10","12","0","54","46"
"2","80","1000","true","0","0","10","false","0.5","100","0","0.5","10","0.25","0.1","1","false","0","10","1","40","0.25","10","14","81","19","0"
"1","80","1000","true","0","0","10","false","0.5","100","0","0.5","10","0.25","0.1","1","false","0","10","1","40","0.25","10","11","4","35","61"
"3","80","1000","true","0","0","10","false","0.5","100","0","0.5","10","0.25","0.1","1","false","0","10","1","40","0.25","10","11","22","51","27"
"4","80","1000","true","0","0","10","false","0.5","100","0","0.5","10","0.25","0.1","1","false","0","10","1","40","0.25","10","13","0","55","45"
"2","80","1000","true","0","0","10","false","0.5","100","0","0.5","10","0.25","0.1","1","false","0","10","1","40","0.25","10","15","0","0","100"
"3","80","1000","true","0","0","10","false","0.5","100","0","0.5","10","0.25","0.1","1","false","0","10","1","40","0.25","10","12","23","28","49"
"2","80","1000","true","0","0","10","false","0.5","100","0","0.5","10","0.25","0.1","1","false","0","10","1","40","0.25","10","16","31","66","3"
"4","80","1000","true","0","0","10","false","0.5","100","0","0.5","10","0.25","0.1","1","false","0","10","1","40","0.25","10","14","0","55","45"
"3","80","1000","true","0","0","10","false","0.5","100","0","0.5","10","0.25","0.1","1","false","0","10","1","40","0.25","10","13","21","50","29"
"1","80","1000","true","0","0","10","false","0.5","100","0","0.5","10","0.25","0.1","1","false","0","10","1","40","0.25","10","12","15","38","47"
"2","80","1000","true","0","0","10","false","0.5","100","0","0.5","10","0.25","0.1","1","false","0","10","1","40","0.25","10","17","46","5","49"
"4","80","1000","true","0","0","10","false","0.5","100","0","0.5","10","0.25","0.1","1","false","0","10","1","40","0.25","10","15","0","55","45"
"3","80","1000","true","0","0","10","false","0.5","100","0","0.5","10","0.25","0.1","1","false","0","10","1","40","0.25","10","14","18","21","61"
"2","80","1000","true","0","0","10","false","0.5","100","0","0.5","10","0.25","0.1","1","false","0","10","1","40","0.25","10","18","45","54","1"
"1","80","1000","true","0","0","10","false","0.5","100","0","0.5","10","0.25","0.1","1","false","0","10","1","40","0.25","10","13","18","28","54"
"4","80","1000","true","0","0","10","false","0.5","100","0","0.5","10","0.25","0.1","1","false","0","10","1","40","0.25","10","16","0","55","45"
"2","80","1000","true","0","0","10","false","0.5","100","0","0.5","10","0.25","0.1","1","false","0","10","1","40","0.25","10","19","66","13","21"
"3","80","1000","true","0","0","10","false","0.5","100","0","0.5","10","0.25","0.1","1","false","0","10","1","40","0.25","10","15","34","39","27"
"4","80","1000","true","0","0","10","false","0.5","100","0","0.5","10","0.25","0.1","1","false","0","10","1","40","0.25","10","17","0","55","45"
"2","80","1000","true","0","0","10","false","0.5","100","0","0.5","10","0.25","0.1","1","false","0","10","1","40","0.25","10","20","68","15","17"
"3","80","1000","true","0","0","10","false","0.5","100","0","0.5","10","0.25","0.1","1","false","0","10","1","40","0.25","10","16","34","29","37"
"1","80","1000","true","0","0","10","false","0.5","100","0","0.5","10","0.25","0.1","1","false","0","10","1","40","0.25","10","14","35","37","28"
"4","80","1000","true","0","0","10","false","0.5","100","0","0.5","10","0.25","0.1","1","false","0","10","1","40","0.25","10","18","0","56","44"
"2","80","1000","true","0","0","10","false","0.5","100","0","0.5","10","0.25","0.1","1","false","0","10","1","40","0.25","10","21","17","63","20"
"3","80","1000","true","0","0","10","false","0.5","100","0","0.5","10","0.25","0.1","1","false","0","10","1","40","0.25","10","17","41","22","37"
"2","80","1000","true","0","0","10","false","0.5","100","0","0.5","10","0.25","0.1","1","false","0","10","1","40","0.25","10","22","30","9","61"
"4","80","1000","true","0","0","10","false","0.5","100","0","0.5","10","0.25","0.1","1","false","0","10","1","40","0.25","10","19","0","56","44"
"1","80","1000","true","0","0","10","false","0.5","100","0","0.5","10","0.25","0.1","1","false","0","10","1","40","0.25","10","15","28","24","48"
"2","80","1000","true","0","0","10","false","0.5","100","0","0.5","10","0.25","0.1","1","false","0","10","1","40","0.25","10","23","59","7","34"
"4","80","1000","true","0","0","10","false","0.5","100","0","0.5","10","0.25","0.1","1","false","0","10","1","40","0.25","10","20","0","56","44"
"3","80","1000","true","0","0","10","false","0.5","100","0","0.5","10","0.25","0.1","1","false","0","10","1","40","0.25","10","18","35","44","21"
"1","80","1000","true","0","0","10","false","0.5","100","0","0.5","10","0.25","0.1","1","false","0","10","1","40","0.25","10","16","41","15","44"
"4","80","1000","true","0","0","10","false","0.5","100","0","0.5","10","0.25","0.1","1","false","0","10","1","40","0.25","10","21","0","56","44"
"2","80","1000","true","0","0","10","false","0.5","100","0","0.5","10","0.25","0.1","1","false","0","10","1","40","0.25","10","24","55","38","7"
"3","80","1000","true","0","0","10","false","0.5","100","0","0.5","10","0.25","0.1","1","false","0","10","1","40","0.25","10","19","11","33","56"
"1","80","1000","true","0","0","10","false","0.5","100","0","0.5","10","0.25","0.1","1","false","0","10","1","40","0.25","10","17","42","41","17"
"4","80","1000","true","0","0","10","false","0.5","100","0","0.5","10","0.25","0.1","1","false","0","10","1","40","0.25","10","22","0","56","44"
"2","80","1000","true","0","0","10","false","0.5","100","0","0.5","10","0.25","0.1","1","false","0","10","1","40","0.25","10","25","34","49","17"
"3","80","1000","true","0","0","10","false","0.5","100","0","0.5","10","0.25","0.1","1","false","0","10","1","40","0.25","10","20","44","15","41"
"4","80","1000","true","0","0","10","false","0.5","100","0","0.5","10","0.25","0.1","1","false","0","10","1","40","0.25","10","23","100","0","0"
"1","80","1000","true","0","0","10","false","0.5","100","0","0.5","10","0.25","0.1","1","false","0","10","1","40","0.25","10","18","17","19","64"
"2","80","1000","true","0","0","10","false","0.5","100","0","0.5","10","0.25","0.1","1","false","0","10","1","40","0.25","10","26","43","25","32"
"3","80","1000","true","0","0","10","false","0.5","100","0","0.5","10","0.25","0.1","1","false","0","10","1","40","0.25","10","21","39","44","17"
"4","80","1000","true","0","0","10","false","0.5","100","0","0.5","10","0.25","0.1","1","false","0","10","1","40","0.25","10","24","31","19","50"
"2","80","1000","true","0","0","10","false","0.5","100","0","0.5","10","0.25","0.1","1","false","0","10","1","40","0.25","10","27","26","26","48"
"3","80","1000","true","0","0","10","false","0.5","100","0","0.5","10","0.25","0.1","1","false","0","10","1","40","0.25","10","22","38","28","34"
"1","80","1000","true","0","0","10","false","0.5","100","0","0.5","10","0.25","0.1","1","false","0","10","1","40","0.25","10","19","22","18","60"
"4","80","1000","true","0","0","10","false","0.5","100","0","0.5","10","0.25","0.1","1","false","0","10","1","40","0.25","10","25","31","62","7"
"2","80","1000","true","0","0","10","false","0.5","100","0","0.5","10","0.25","0.1","1","false","0","10","1","40","0.25","10","28","45","34","21"
"3","80","1000","true","0","0","10","false","0.5","100","0","0.5","10","0.25","0.1","1","false","0","10","1","40","0.25","10","23","51","10","39"
"1","80","1000","true","0","0","10","false","0.5","100","0","0.5","10","0.25","0.1","1","false","0","10","1","40","0.25","10","20","49","14","37"
"4","80","1000","true","0","0","10","false","0.5","100","0","0.5","10","0.25","0.1","1","false","0","10","1","40","0.25","10","26","32","12","56"
"3","80","1000","true","0","0","10","false","0.5","100","0","0.5","10","0.25","0.1","1","false","0","10","1","40","0.25","10","24","49","37","14"
"2","80","1000","true","0","0","10","false","0.5","100","0","0.5","10","0.25","0.1","1","false","0","10","1","40","0.25","10","29","52","11","37"
"1","80","1000","true","0","0","10","false","0.5","100","0","0.5","10","0.25","0.1","1","false","0","10","1","40","0.25","10","21","35","32","33"
"4","80","1000","true","0","0","10","false","0.5","100","0","0.5","10","0.25","0.1","1","false","0","10","1","40","0.25","10","27","29","49","22"
"3","80","1000","true","0","0","10","false","0.5","100","0","0.5","10","0.25","0.1","1","false","0","10","1","40","0.25","10","25","24","33","43"
"2","80","1000","true","0","0","10","false","0.5","100","0","0.5","10","0.25","0.1","1","false","0","10","1","40","0.25","10","30","55","15","30"
"4","80","1000","true","0","0","10","false","0.5","100","0","0.5","10","0.25","0.1","1","false","0","10","1","40","0.25","10","28","41","26","33"
"1","80","1000","true","0","0","10","false","0.5","100","0","0.5","10","0.25","0.1","1","false","0","10","1","40","0.25","10","22","52","14","34"
"3","80","1000","true","0","0","10","false","0.5","100","0","0.5","10","0.25","0.1","1","false","0","10","1","40","0.25","10","26","39","38","23"
"2","80","1000","true","0","0","10","false","0.5","100","0","0.5","10","0.25","0.1","1","false","0","10","1","40","0.25","10","31","60","8","32"
"4","80","1000","true","0","0","10","false","0.5","100","0","0.5","10","0.25","0.1","1","false","0","10","1","40","0.25","10","29","46","29","25"
"2","80","1000","true","0","0","10","false","0.5","100","0","0.5","10","0.25","0.1","1","false","0","10","1","40","0.25","10","32","67","20","13"
"1","80","1000","true","0","0","10","false","0.5","100","0","0.5","10","0.25","0.1","1","false","0","10","1","40","0.25","10","23","21","17","62"
"3","80","1000","true","0","0","10","false","0.5","100","0","0.5","10","0.25","0.1","1","false","0","10","1","40","0.25","10","27","19","14","67"
"4","80","1000","true","0","0","10","false","0.5","100","0","0.5","10","0.25","0.1","1","false","0","10","1","40","0.25","10","30","45","26","29"
"2","80","1000","true","0","0","10","false","0.5","100","0","0.5","10","0.25","0.1","1","false","0","10","1","40","0.25","10","33","53","17","30"
"1","80","1000","true","0","0","10","false","0.5","100","0","0.5","10","0.25","0.1","1","false","0","10","1","40","0.25","10","24","40","10","50"
"3","80","1000","true","0","0","10","false","0.5","100","0","0.5","10","0.25","0.1","1","false","0","10","1","40","0.25","10","28","45","30","25"
"4","80","1000","true","0","0","10","false","0.5","100","0","0.5","10","0.25","0.1","1","false","0","10","1","40","0.25","10","31","48","24","28"
"2","80","1000","true","0","0","10","false","0.5","100","0","0.5","10","0.25","0.1","1","false","0","10","1","40","0.25","10","34","42","48","10"
"1","80","1000","true","0","0","10","false","0.5","100","0","0.5","10","0.25","0.1","1","false","0","10","1","40","0.25","10","25","31","39","30"
"4","80","1000","true","0","0","10","false","0.5","100","0","0.5","10","0.25","0.1","1","false","0","10","1","40","0.25","10","32","19","64","17"
"3","80","1000","true","0","0","10","false","0.5","100","0","0.5","10","0.25","0.1","1","false","0","10","1","40","0.25","10","29","49","14","37"
"2","80","1000","true","0","0","10","false","0.5","100","0","0.5","10","0.25","0.1","1","false","0","10","1","40","0.25","10","35","25","22","53"
"1","80","1000","true","0","0","10","false","0.5","100","0","0.5","10","0.25","0.1","1","false","0","10","1","40","0.25","10","26","50","34","16"
"4","80","1000","true","0","0","10","false","0.5","100","0","0.5","10","0.25","0.1","1","false","0","10","1","40","0.25","10","33","8","34","58"
"3","80","1000","true","0","0","10","false","0.5","100","0","0.5","10","0.25","0.1","1","false","0","10","1","40","0.25","10","30","60","24","16"
"2","80","1000","true","0","0","10","false","0.5","100","0","0.5","10","0.25","0.1","1","false","0","10","1","40","0.25","10","36","56","16","28"
"4","80","1000","true","0","0","10","false","0.5","100","0","0.5","10","0.25","0.1","1","false","0","10","1","40","0.25","10","34","23","26","51"
"1","80","1000","true","0","0","10","false","0.5","100","0","0.5","10","0.25","0.1","1","false","0","10","1","40","0.25","10","27","44","27","29"
"3","80","1000","true","0","0","10","false","0.5","100","0","0.5","10","0.25","0.1","1","false","0","10","1","40","0.25","10","31","31","30","39"
"2","80","1000","true","0","0","10","false","0.5","100","0","0.5","10","0.25","0.1","1","false","0","10","1","40","0.25","10","37","65","16","19"
"4","80","1000","true","0","0","10","false","0.5","100","0","0.5","10","0.25","0.1","1","false","0","10","1","40","0.25","10","35","50","36","14"
"3","80","1000","true","0","0","10","false","0.5","100","0","0.5","10","0.25","0.1","1","false","0","10","1","40","0.25","10","32","21","17","62"
"1","80","1000","true","0","0","10","false","0.5","100","0","0.5","10","0.25","0.1","1","false","0","10","1","40","0.25","10","28","42","20","38"
"2","80","1000","true","0","0","10","false","0.5","100","0","0.5","10","0.25","0.1","1","false","0","10","1","40","0.25","10","38","42","7","51"
"4","80","1000","true","0","0","10","false","0.5","100","0","0.5","10","0.25","0.1","1","false","0","10","1","40","0.25","10","36","60","30","10"
"1","80","1000","true","0","0","10","false","0.5","100","0","0.5","10","0.25","0.1","1","false","0","10","1","40","0.25","10","29","35","11","54"
"3","80","1000","true","0","0","10","false","0.5","100","0","0.5","10","0.25","0.1","1","false","0","10","1","40","0.25","10","33","58","13","29"
"2","80","1000","true","0","0","10","false","0.5","100","0","0.5","10","0.25","0.1","1","false","0","10","1","40","0.25","10","39","37","41","22"
"4","80","1000","true","0","0","10","false","0.5","100","0","0.5","10","0.25","0.1","1","false","0","10","1","40","0.25","10","37","50","8","42"
"3","80","1000","true","0","0","10","false","0.5","100","0","0.5","10","0.25","0.1","1","false","0","10","1","40","0.25","10","34","60","24","16"
"1","80","1000","true","0","0","10","false","0.5","100","0","0.5","10","0.25","0.1","1","false","0","10","1","40","0.25","10","30","43","11","46"
"2","80","1000","true","0","0","10","false","0.5","100","0","0.5","10","0.25","0.1","1","false","0","10","1","40","0.25","10","40","73","8","19"
"4","80","1000","true","0","0","10","false","0.5","100","0","0.5","10","0.25","0.1","1","false","0","10","1","40","0.25","10","38","20","54","26"
"3","80","1000","true","0","0","10","false","0.5","100","0","0.5","10","0.25","0.1","1","false","0","10","1","40","0.25","10","35","56","22","22"
"1","80","1000","true","0","0","10","false","0.5","100","0","0.5","10","0.25","0.1","1","false","0","10","1","40","0.25","10","31","41","15","44"
"4","80","1000","true","0","0","10","false","0.5","100","0","0.5","10","0.25","0.1","1","false","0","10","1","40","0.25","10","39","27","34","39"
"2","80","1000","true","0","0","10","false","0.5","100","0","0.5","10","0.25","0.1","1","false","0","10","1","40","0.25","10","41","73","5","22"
"1","80","1000","true","0","0","10","false","0.5","100","0","0.5","10","0.25","0.1","1","false","0","10","1","40","0.25","10","32","64","9","27"
"2","80","1000","true","0","0","10","false","0.5","100","0","0.5","10","0.25","0.1","1","false","0","10","1","40","0.25","10","42","45","25","30"
"3","80","1000","true","0","0","10","false","0.5","100","0","0.5","10","0.25","0.1","1","false","0","10","1","40","0.25","10","36","51","25","24"
"4","80","1000","true","0","0","10","false","0.5","100","0","0.5","10","0.25","0.1","1","false","0","10","1","40","0.25","10","40","33","46","21"
"2","80","1000","true","0","0","10","false","0.5","100","0","0.5","10","0.25","0.1","1","false","0","10","1","40","0.25","10","43","48","38","14"
"4","80","1000","true","0","0","10","false","0.5","100","0","0.5","10","0.25","0.1","1","false","0","10","1","40","0.25","10","41","46","23","31"
"1","80","1000","true","0","0","10","false","0.5","100","0","0.5","10","0.25","0.1","1","false","0","10","1","40","0.25","10","33","30","56","14"
"3","80","1000","true","0","0","10","false","0.5","100","0","0.5","10","0.25","0.1","1","false","0","10","1","40","0.25","10","37","21","38","41"
"2","80","1000","true","0","0","10","false","0.5","100","0","0.5","10","0.25","0.1","1","false","0","10","1","40","0.25","10","44","71","13","16"
"3","80","1000","true","0","0","10","false","0.5","100","0","0.5","10","0.25","0.1","1","false","0","10","1","40","0.25","10","38","12","22","66"
"4","80","1000","true","0","0","10","false","0.5","100","0","0.5","10","0.25","0.1","1","false","0","10","1","40","0.25","10","42","64","14","22"
"1","80","1000","true","0","0","10","false","0.5","100","0","0.5","10","0.25","0.1","1","false","0","10","1","40","0.25","10","34","32","13","55"
"3","80","1000","true","0","0","10","false","0.5","100","0","0.5","10","0.25","0.1","1","false","0","10","1","40","0.25","10","39","52","14","34"
"2","80","1000","true","0","0","10","false","0.5","100","0","0.5","10","0.25","0.1","1","false","0","10","1","40","0.25","10","45","43","11","46"
"1","80","1000","true","0","0","10","false","0.5","100","0","0.5","10","0.25","0.1","1","false","0","10","1","40","0.25","10","35","53","31","16"
"4","80","1000","true","0","0","10","false","0.5","100","0","0.5","10","0.25","0.1","1","false","0","10","1","40","0.25","10","43","59","26","15"
"3","80","1000","true","0","0","10","false","0.5","100","0","0.5","10","0.25","0.1","1","false","0","10","1","40","0.25","10","40","52","17","31"
"2","80","1000","true","0","0","10","false","0.5","100","0","0.5","10","0.25","0.1","1","false","0","10","1","40","0.25","10","46","60","3","37"
"4","80","1000","true","0","0","10","false","0.5","100","0","0.5","10","0.25","0.1","1","false","0","10","1","40","0.25","10","44","19","38","43"
"1","80","1000","true","0","0","10","false","0.5","100","0","0.5","10","0.25","0.1","1","false","0","10","1","40","0.25","10","36","33","30","37"
"3","80","1000","true","0","0","10","false","0.5","100","0","0.5","10","0.25","0.1","1","false","0","10","1","40","0.25","10","41","37","27","36"
"2","80","1000","true","0","0","10","false","0.5","100","0","0.5","10","0.25","0.1","1","false","0","10","1","40","0.25","10","47","28","35","37"
"4","80","1000","true","0","0","10","false","0.5","100","0","0.5","10","0.25","0.1","1","false","0","10","1","40","0.25","10","45","23","60","17"
"1","80","1000","true","0","0","10","false","0.5","100","0","0.5","10","0.25","0.1","1","false","0","10","1","40","0.25","10","37","35","16","49"
"3","80","1000","true","0","0","10","false","0.5","100","0","0.5","10","0.25","0.1","1","false","0","10","1","40","0.25","10","42","70","6","24"
"2","80","1000","true","0","0","10","false","0.5","100","0","0.5","10","0.25","0.1","1","false","0","10","1","40","0.25","10","48","71","11","18"
"4","80","1000","true","0","0","10","false","0.5","100","0","0.5","10","0.25","0.1","1","false","0","10","1","40","0.25","10","46","19","26","55"
"2","80","1000","true","0","0","10","false","0.5","100","0","0.5","10","0.25","0.1","1","false","0","10","1","40","0.25","10","49","58","34","8"
"1","80","1000","true","0","0","10","false","0.5","100","0","0.5","10","0.25","0.1","1","false","0","10","1","40","0.25","10","38","51","9","40"
"3","80","1000","true","0","0","10","false","0.5","100","0","0.5","10","0.25","0.1","1","false","0","10","1","40","0.25","10","43","45","49","6"
"4","80","1000","true","0","0","10","false","0.5","100","0","0.5","10","0.25","0.1","1","false","0","10","1","40","0.25","10","47","59","22","19"
"2","80","1000","true","0","0","10","false","0.5","100","0","0.5","10","0.25","0.1","1","false","0","10","1","40","0.25","10","50","67","20","13"
"1","80","1000","true","0","0","10","false","0.5","100","0","0.5","10","0.25","0.1","1","false","0","10","1","40","0.25","10","39","61","15","24"
