step,who,wealth,payoffs,choices,strategy,tau
0,42,84.4455728908377,0.9411764705882353,0,1,0
1,42,84.4455728908377,0,0,1,0
2,42,84.4455728908377,0,0,1,0
3,42,84.4455728908377,0,2,1,0
4,42,84.4455728908377,0,0,1,0
5,42,84.4455728908377,0,0,1,0
6,42,84.4455728908377,0.8602150537634409,0,1,0
7,42,84.4455728908377,0,0,1,0
8,42,84.4455728908377,0,0,1,0
9,42,84.4455728908377,0.8602150537634409,0,1,0
10,42,84.4455728908377,0,0,1,0
11,42,84.4455728908377,0,0,1,0
12,42,84.4455728908377,0,0,1,0
13,42,84.4455728908377,0.8695652173913043,0,1,0
14,42,84.4455728908377,0,1,1,0
15,42,84.4455728908377,0,0,1,0
16,42,84.4455728908377,0,0,1,0
17,42,84.4455728908377,0,0,1,0
18,42,84.4455728908377,0,2,1,0
19,42,84.4455728908377,0,0,1,0
20,42,84.4455728908377,0,1,1,0
21,42,84.4455728908377,0.8602150537634409,0,1,0
22,42,84.4455728908377,0.8695652173913043,0,1,0
23,42,84.4455728908377,0,0,1,0
24,42,84.4455728908377,0.898876404494382,0,1,0
25,42,84.4455728908377,0,1,1,0
26,42,84.4455728908377,0.9090909090909091,0,1,0
27,42,84.4455728908377,0,0,1,0
28,42,84.4455728908377,11.428571428571429,1,1,0
29,42,84.4455728908377,0,0,1,0
30,42,84.4455728908377,0.8695652173913043,0,1,0
31,42,84.4455728908377,0.8695652173913043,0,1,0
32,42,84.4455728908377,0.9090909090909091,0,1,0
33,42,84.4455728908377,0.8791208791208791,0,1,0
34,42,84.4455728908377,0.8695652173913043,0,1,0
35,42,84.4455728908377,0,0,1,0
36,42,84.4455728908377,0,0,1,0
37,42,84.4455728908377,0.8888888888888888,0,1,0
38,42,84.4455728908377,0,0,1,0
39,42,84.4455728908377,0,0,1,0
40,42,84.4455728908377,0,0,1,0
41,42,84.4455728908377,26.666666666666668,2,1,0
42,42,84.4455728908377,0,0,1,0
43,42,84.4455728908377,0,0,1,0
44,42,84.4455728908377,0,1,1,0
45,42,84.4455728908377,0,0,1,0
46,42,84.4455728908377,0,0,1,0
47,42,84.4455728908377,0,0,1,0
48,42,84.4455728908377,0,0,1,0
49,42,84.4455728908377,0,0,1,0
50,42,84.4455728908377,0,1,1,0
51,42,84.4455728908377,0,1,1,0
52,42,84.4455728908377,0,0,1,0
53,42,84.4455728908377,0,1,1,0
54,42,84.4455728908377,0,0,1,0
55,42,84.4455728908377,0,0,1,0
56,42,84.4455728908377,0,0,1,0
57,42,84.4455728908377,0.8695652173913043,0,1,0
58,42,84.4455728908377,0.898876404494382,0,1,0
59,42,84.4455728908377,0,0,1,0
60,42,84.4455728908377,0,0,1,0
61,42,84.4455728908377,0.8791208791208791,0,1,0
62,42,84.4455728908377,0.8421052631578947,0,1,0
63,42,84.4455728908377,13.333333333333334,2,1,0
64,42,84.4455728908377,0,0,1,0
65,42,84.4455728908377,0.8791208791208791,0,1,0
66,42,84.4455728908377,0,0,1,0
67,42,84.4455728908377,10,1,1,0
68,42,84.4455728908377,0.8888888888888888,0,1,0
69,42,84.4455728908377,0,0,1,0
70,42,84.4455728908377,0,0,1,0
71,42,84.4455728908377,0.9090909090909091,0,1,0
72,42,84.4455728908377,0,0,1,0
73,42,84.4455728908377,0.9090909090909091,0,1,0
74,42,84.4455728908377,0,0,1,0
75,42,84.4455728908377,0,0,1,0
76,42,84.4455728908377,0,0,1,0
77,42,84.4455728908377,0,0,1,0
78,42,84.4455728908377,0,1,1,0
79,42,84.4455728908377,0,1,1,0
80,42,84.4455728908377,0,2,1,0
81,42,84.4455728908377,0,0,1,0
82,42,84.4455728908377,0,0,1,0
83,42,84.4455728908377,0,0,1,0
84,42,84.4455728908377,0,0,1,0
85,42,84.4455728908377,0,0,1,0
86,42,84.4455728908377,0,0,1,0
87,42,84.4455728908377,0.8888888888888888,0,1,0
88,42,84.4455728908377,0.9195402298850575,0,1,0
89,42,84.4455728908377,0,2,1,0
90,42,84.4455728908377,0,0,1,0
91,42,84.4455728908377,0,0,1,0
92,42,84.4455728908377,0,0,1,0
93,42,84.4455728908377,0,0,1,0
94,42,84.4455728908377,0,0,1,0
95,42,84.4455728908377,0,2,1,0
96,42,84.4455728908377,0,1,1,0
97,42,84.4455728908377,0,0,1,0
98,42,84.4455728908377,0.898876404494382,0,1,0
99,42,84.4455728908377,0,2,1,0
100,42,84.4455728908377,0.8791208791208791,0,1,0
101,42,84.4455728908377,0,0,1,0
0,39,37.28102915892782,0.9411764705882353,0,1,0
1,39,37.28102915892782,0,0,1,0
2,39,37.28102915892782,0,0,1,0
3,39,37.28102915892782,0,0,1,0
4,39,37.28102915892782,0,0,1,0
5,39,37.28102915892782,0,2,1,0
6,39,37.28102915892782,0.8602150537634409,0,1,0
7,39,37.28102915892782,0,0,1,0
8,39,37.28102915892782,0,0,1,0
9,39,37.28102915892782,0.8602150537634409,0,1,0
10,39,37.28102915892782,0,0,1,0
11,39,37.28102915892782,0,0,1,0
12,39,37.28102915892782,0,0,1,0
13,39,37.28102915892782,0.8695652173913043,0,1,0
14,39,37.28102915892782,0,0,1,0
15,39,37.28102915892782,0,0,1,0
16,39,37.28102915892782,0,0,1,0
17,39,37.28102915892782,0,0,1,0
18,39,37.28102915892782,0.9302325581395349,0,1,0
19,39,37.28102915892782,0,0,1,0
20,39,37.28102915892782,0,1,1,0
21,39,37.28102915892782,0,2,1,0
22,39,37.28102915892782,0.8695652173913043,0,1,0
23,39,37.28102915892782,0,0,1,0
24,39,37.28102915892782,0.898876404494382,0,1,0
25,39,37.28102915892782,0.8602150537634409,0,1,0
26,39,37.28102915892782,0.9090909090909091,0,1,0
27,39,37.28102915892782,0,0,1,0
28,39,37.28102915892782,0,0,1,0
29,39,37.28102915892782,0,0,1,0
30,39,37.28102915892782,0.8695652173913043,0,1,0
31,39,37.28102915892782,0.8695652173913043,0,1,0
32,39,37.28102915892782,0.9090909090909091,0,1,0
33,39,37.28102915892782,0,2,1,0
34,39,37.28102915892782,0.8695652173913043,0,1,0
35,39,37.28102915892782,0,0,1,0
36,39,37.28102915892782,0,0,1,0
37,39,37.28102915892782,0.8888888888888888,0,1,0
38,39,37.28102915892782,0,1,1,0
39,39,37.28102915892782,0,0,1,0
40,39,37.28102915892782,0,0,1,0
41,39,37.28102915892782,0,0,1,0
42,39,37.28102915892782,0,0,1,0
43,39,37.28102915892782,0,0,1,0
44,39,37.28102915892782,0,0,1,0
45,39,37.28102915892782,0,0,1,0
46,39,37.28102915892782,0,0,1,0
47,39,37.28102915892782,0,0,1,0
48,39,37.28102915892782,0,0,1,0
49,39,37.28102915892782,0,0,1,0
50,39,37.28102915892782,0,0,1,0
51,39,37.28102915892782,0.8791208791208791,0,1,0
52,39,37.28102915892782,0,0,1,0
53,39,37.28102915892782,0,0,1,0
54,39,37.28102915892782,0,0,1,0
55,39,37.28102915892782,0,0,1,0
56,39,37.28102915892782,0,0,1,0
57,39,37.28102915892782,0.8695652173913043,0,1,0
58,39,37.28102915892782,0.898876404494382,0,1,0
59,39,37.28102915892782,0,0,1,0
60,39,37.28102915892782,0,0,1,0
61,39,37.28102915892782,0.8791208791208791,0,1,0
62,39,37.28102915892782,0.8421052631578947,0,1,0
63,39,37.28102915892782,0.8888888888888888,0,1,0
64,39,37.28102915892782,0,0,1,0
65,39,37.28102915892782,0.8791208791208791,0,1,0
66,39,37.28102915892782,0,0,1,0
67,39,37.28102915892782,0,0,1,0
68,39,37.28102915892782,0.8888888888888888,0,1,0
69,39,37.28102915892782,0,0,1,0
70,39,37.28102915892782,0,0,1,0
71,39,37.28102915892782,0.9090909090909091,0,1,0
72,39,37.28102915892782,0,0,1,0
73,39,37.28102915892782,0,2,1,0
74,39,37.28102915892782,0,0,1,0
75,39,37.28102915892782,0,0,1,0
76,39,37.28102915892782,0,0,1,0
77,39,37.28102915892782,0,0,1,0
