DATE,Precipation,MaxTemp,MinTemp
8/1/16,0.08,85,57
8/2/16,0.27,85,56
8/3/16,0.01,85,59
8/4/16,0.02,84,56
8/5/16,0.45,80,56
8/6/16,0.37,79,54
8/7/16,0,85,53
8/8/16,0,85,56
8/9/16,0,87,54
8/10/16,0,84,61
8/11/16,0,86,58
8/12/16,0,85,55
8/13/16,0.38,80,50
8/14/16,0,74,48
8/15/16,0,85,50
8/16/16,0,83,59
8/17/16,0.07,80,53
8/18/16,0,81,47
8/19/16,0,81,51
8/20/16,0,80,51
8/21/16,0.32,74,49
8/22/16,0.6,74,52
8/23/16,0,77,47
8/24/16,0,75,45
8/25/16,0,77,44
8/26/16,0.25,72,52
8/27/16,0.01,78,48
8/28/16,0,78,46
8/29/16,0,76,47
8/30/16,0,74,44
8/31/16,0,77,49
